Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
"Anon - Mit Lieb bin ich umfangen, / Herzallerliebste mein",Anon,"Mit Lieb bin ich umfangen, / Herzallerliebste mein",,EB 400,,,,,-1600,,8.7,,,,,,,
Anon - Mit Lust so will ich singen,Anon,Mit Lust so will ich singen,,WA II 1157,,,16. Jh.,,-1600,,7.3,,,,,,,
"Anon - Mit schwachen Armen, bleichen Wangen",Anon,"Mit schwachen Armen, bleichen Wangen",,,,,,,1770-1830,,8.37,,,,,,,
Anon - Nach gepurte Jesu Christ,Anon,Nach gepurte Jesu Christ,,LI 238,,,,,,,4.34,,,,,,,
Anon - Nach Willen dein / Mich dir allein,Anon,Nach Willen dein / Mich dir allein,,EB 1667,,,1512,,-1600,,12.1,,,,,,,
"Anon - Nächten, da ich bei ihr was",Anon,"Nächten, da ich bei ihr was",Wunderhorn (1805/08),EB 581,,,,,,,4.42,,,,,http://www.zeno.org/nid/20004465520,,
"Anon - Nachtigall, ich hör dich singen",Anon,"Nachtigall, ich hör dich singen",,EB 529,,,,,,,4.51,,,,,http://www.zeno.org/nid/20004464419,,
"Anon - Nicht lang es ist, / in Fastnachtsfrist",Anon,"Nicht lang es ist, / in Fastnachtsfrist",Wunderhorn (1805/08),DKW Doppelte Liebe,,,(nicht vor 1776),,1700-1770,,6.2,,,,,http://www.zeno.org/nid/20004465822,,
"Anon - Nu fall du Reif, du kalter Schnee",Anon,"Nu fall du Reif, du kalter Schnee",,EB 447a,,,,,,,4.34,,,,,,,
Anon - Nu höret und market to dusser tid / wo sik nu heft vorhaven ein strid,Anon,Nu höret und market to dusser tid / wo sik nu heft vorhaven ein strid,,"LI 332,LI 328",,,1523,,-1600,,6.20,,,,,,,
"Anon - Nu wil ich aber singen / und dichten, ob ich kan",Anon,"Nu wil ich aber singen / und dichten, ob ich kan",,LI 133,,,15. Jh.,,-1600,,7.3,,,,,,,
"Anon - Nu wolt yr horenn ayn newhes geticht, / wie es heyncz domnig hot aüsgericht",Anon,"Nu wolt yr horenn ayn newhes geticht, / wie es heyncz domnig hot aüsgericht",Preuß. Staatsbibl. Ms. germ. 2° 621,Preuß. Staatsbibl. Ms. germ. 2° 621,,,,,,,4.39,,,,,,,
"Anon - Nun grüß dich Gott, du edler Saft",Anon,"Nun grüß dich Gott, du edler Saft",,EB 1134,,,,,-1600,,2.5,,,,,,,
"Anon - Nun höret zu und schweiget still / Und hört, was ich euch sagen will / Von einem guten Lande",Anon,"Nun höret zu und schweiget still / Und hört, was ich euch sagen will / Von einem guten Lande",,EB 1096,,,17. Jh.,,1600-1700,,5.6,,,,,,,
Anon - Nun hört ein altes liedli,Anon,Nun hört ein altes liedli schon,,LI 13,,,14. Jh.,,-1600,,13.2,,,,,,,
"Anon - Nun hört, ihr Christenleute",Anon,"Schaurige Mordtat wie zwei Brüder, Müller geheißen, qm 20. Juni 1736 ihre Tante in Berlin ermordeten (Nun hört, ihr Christenleute)",,,,,,,1700-1770,,6.6,,,,,,,
Anon - Nun ist die Zeit und Stunde da,Anon,Nun ist die Zeit und Stunde da,,EB 795,,,,,,,4.58,,,,,,,
Anon - Nun laßt uns all Gott rufen an,Anon,Nun laßt uns all Gott rufen an,,,,,16. Jh.,,-1600,,5.6,,,,,,,
Anon - Nun merkt den großen Kummer,Anon,Nun merkt den großen Kummer,,LI 157,,,15. Jh.,,-1600,,9.1,,,,,,,
"Anon - Nun schürz dich, Gretlein",Anon,"Nun schürz dich, Gretlein, schürz dich",,EB 113,,,,,,,4.20,,,,,,,
Anon - Nun wellen wir es heben an / Ein neues Lied zu singen,Anon,Nun wellen wir es heben an / Ein neues Lied zu singen,,LI 149,,,,,-1600,,7.7,,,,,,,
Anon - Nun will ich aber heben an / Von dem Danhauser singen,Anon,Nun will ich aber heben an / Von dem Danhauser singen,Wunderhorn (1805/08),EB 17a,,,,,,,4.36,,,,,http://www.zeno.org/nid/20004464389,,
Anon - Nun will ich euch was neues,Anon,Nun will ich euch was neues erzählen / Von diesem und jenem und nichts verhehlen,,EB 1106,,,18. Jh.,,1700-1770,,5.6,,,,,,,
"Anon - Nur lustig ihr Brüder, der Wein isch gerate",Anon,"Nur lustig ihr Brüder, der Wein isch gerate",,EB 1167,,,18. Jh.,,1700-1770,,4.62,,,,,,,
Anon - O Baron du falsches Kind,Anon,O Baron du falsches Kind,,EB 710,,,,,,,4.42,,,,,,,
Anon - O daß ich könnt von Herzen,Anon,O daß ich könnt von Herzen,Wunderhorn (1805/08),DKW Der Graf und die Königstochter,,,,,-1600,,7.3,,,,,http://www.zeno.org/nid/20004465385,,
"Anon - O du armer Judas, was hast du getan?",Anon,"O du armer Judas, was hast du getan?",,"WA II 616,WA II 618",,,,,,,4.112,,,,,,,
Anon - O du göttliche Liebe,Anon,O du göttliche Liebe,,WA II 1236,,,1527,,-1600,,7.3,,,,,,,
"Anon - O Gott, wem soll ichs klagen",Anon,"O Gott, wem soll ichs klagen",,FT I 183,,,17. Jh.,,1600-1700,,9.1,,,,,,,
"Anon - O Herre Gott, ich ruf dich an",Anon,"O Herre Gott, ich ruf dich an",,WA III 476,,,,,,,4.39,,,,,,,
"Anon - O lieber Gott, / Daß dein Gebot",Anon,"O lieber Gott, / Daß dein Gebot",,WA III 844,,,,,-1600,,12.1,,,,,,,
"Anon - O lieber Hans, / Versorg dein Gans",Anon,"O lieber Hans, / Versorg dein Gans",,EB 1151,,,,,-1600,,12.1,,,,,,,
Anon - O milde Gottes Hand,Anon,O milde Gottes Hand,,WA V 1584,,,16. Jh.,,-1600,,6.4,,,,,,,
Anon - O schwere Gottes Hand,Anon,O schwere Gottes Hand,,WA V 1583,,,16. Jh.,,-1600,,6.4,,,,,,,
Anon - O Weisheit gottes vaters zart,Anon,O Weisheit gottes vaters zart,,WA II 930,,,15. Jh.,,-1600,,8.15,,,,,,,
Anon - O Welt ich muß dich lassen,Anon,O Welt ich muß dich lassen,,,,,um 1555,,-1600,,6.9,,,,,,,
Anon - O wir armen Sünder,Anon,O wir armen Sünder,,WA III 850,1588,,,,-1600,,8.2,,,,,,,
Anon - Ob ich gleich ein Schäfer bin,Anon,Ob ich gleich ein Schäfer bin,,EB 1487,,,18. Jh.,,1700-1770,,6.22,,,,,,,
Anon - Petersil und Suppenkraut / wächst in unserm Garten,Anon,Petersil und Suppenkraut / wächst in unserm Garten,,,,,um 1800,,1770-1830,,6.13,,,,,,,
"Anon - Petro Giorgio, der bekehrte Freibeuter (Im Süden hauste noch vor Jahren)",Anon,"Petro Giorgio, der bekehrte Freibeuter (Im Süden hauste noch vor Jahren)",,,,,,,1770-1830,,6.38,,,,,,,
"Anon - Phönix, der edle Vogel wert",Anon,"Phönix, der edle Vogel wert",Wunderhorn (1805/08),DKW Vogel Phönix,,,,,,,2.5,,,,,http://www.zeno.org/nid/20004465342,,
"Anon - Prinz Eugen, der edle Ritter",Anon,"Prinz Eugen, der edle Ritter",,EB 324,,,18. Jh.,,1700-1770,,6.30,,,,,,,
"Anon - Rosina, wo was dein Gestalt",Anon,"Rosina, wo was dein Gestalt",,EB 1669,,,16. Jh.,,-1600,,10.2,,,,,,,
"Anon - Schätzichen, was machest du?",Anon,"Schätzichen, was machest du?",,EB 729a,,,,,,,4.42,,,,,,,
Anon - Schinderhannes (Was hört man doch in unsrer Zeit),Anon,Schinderhannes (Was hört man doch in unsrer Zeit),,,,,1802,,1770-1830,,7.7,,,,,,,
"Anon - Schlemmer, was bistu singen",Anon,"Schlemmer, was bistu singen",,WA III 548,,,,,-1600,,8.5,,,,,,,
"Anon - Schlemmer, was bistu singen copy",Anon,"Schlemmer, was bistu singen (geistl.)",,s. WA III 548,,,1569,,-1600,,8.5,,,,,,,
"Anon - Schön ists, unter grünen Bäumen",Anon,"Schön ists, unter grünen Bäumen",,,,,19. Jh.,,1770-1830,,8.26,,,,,,,
"Anon - Schönstes Kind, zu deinen Füßen",Anon,"Schönstes Kind, zu deinen Füßen",,EB 504,,,18. Jh.,,1700-1770,,8.27,,,,,,,
Anon - Seht ihr drei Rosse vor dem,Anon,Seht ihr drei Rosse vor dem,,,,,,,,,4.67,,,,,,,
"Anon - Sei g’rüßt, o heiligs Kreuz",Anon,"Sei g’rüßt, o heiligs Kreuz",,WA II 1370,,,,,,,4.113,,,,,,,
Anon - Seit dem ersten Märzen ist bekannt,Anon,Seit dem ersten Märzen ist bekannt,,,,,1812,,,,4.58,,,,,,,
Anon - Seltne Blum der Männertreu,Anon,Seltne Blum der Männertreu,,,,,,,,,4.31,,,,,,,
Anon - Sie war ein Mädchen von,Anon,Sie war ein Mädchen von,,,,,,,,,4.67,,,,,,,
Anon - So alleine wandelst du,Anon,So alleine wandelst du,,,,,,,,,4.47,,,,,,,
Anon - So heb ichs an mit Schallen,Anon,So heb ichs an mit Schallen,,WA V 1142,,,16. Jh.,,-1600,,9.1,,,,,,,
Anon - So treiben wir den Winter aus,Anon,So treiben wir den Winter aus,Wunderhorn (1805/08),DKW So treiben wir den Winter aus,,,,,,,4.39,,,,,http://www.zeno.org/nid/20004464737,,
"Anon - So wünsch ich ihr ein gute Nacht, / Bei der ich war alleine",Anon,"So wünsch ich ihr ein gute Nacht, / Bei der ich war alleine","Ambraser Liederbuch (1582),Wunderhorn (1805/08)",EB 1300,,,1536,,-1600,,7.4,,,,,http://www.zeno.org/nid/20004435117,,
Anon - Sollte ein’m das Herz nicht,Anon,Sollte ein’m das Herz nicht,,,,,,,,,4.49,,,,,,,
Anon - Spannenlanger Hansel,Anon,Spannenlanger Hansel,,,,,,,,,4.13,,,,,,,
Anon - Stolz Heinrich der wollt freien gehn,Anon,Stolz Heinrich der wollt freien gehn,,EB 40a,,,,,,,4.34,,,,,,,
Anon - Störtebecher und Gödte Michael,Anon,Störtebecher und Gödte Michael,Wunderhorn (1805/08),LI 44,,,1402,,-1600,,5.6,,,,,http://www.zeno.org/nid/20004466969,,
Anon - Streit zwischen dem blinden Cupido und einem Waldbruder,Anon,Streit zwischen dem blinden Cupido und einem Waldbruder,Wunderhorn (1805/08),Wunderhorn (1805/08),,,,,,,---,8.396,j_4ma-4ma-4mb-4mb-4mc-4mc-4md-3md,,,http://www.zeno.org/nid/20004467868,,Schlawe: Zuordnung zu Typ 8.396 übersieht die Dreihebigkeit der letzten Zeile
"Anon - Trauerlied von der Hinrichtung der Königin aus Frankreich (Ach Himmel, was ist nun geschehen)",Anon,"Trauerlied von der Hinrichtung der Königin aus Frankreich (Ach Himmel, was ist nun geschehen)",,,,,1792,,1770-1830,,8.26,,,,,,,
Anon - Treue Liebe hast du mir,Anon,Treue Liebe hast du mir,,,,,,,,,4.93,,,,,,,
Anon - Über den Kirchhof ging ich allein,Anon,Über den Kirchhof ging ich allein,Wunderhorn (1805/08),DKW Vision,,,,,,,4.71,,,,,http://www.zeno.org/nid/20004468570,,
Anon - Und weit ir hören zu diser frist,Anon,Und weit ir hören zu diser frist,,WA II 1279,,,1512,,-1600,,6.19,,,,,,,
Anon - Und wille gi hören ein nie gedicht,Anon,Und wille gi hören ein nie gedicht,,LI 16,,,,,-1600,,5.6,,,,,,,
Anon - Up de papen und den nien rat to Lüneborch (Wille gi hören einen nien fund),Anon,Up de papen und den nien rat to Lüneborch (Wille gi hören einen nien fund),,LI 102,,,1454,,-1600,,5.6,,,,,,,
"Anon - Vater, ist denn nicht erschaffen / Für mich eine Männlichkeit?",Anon,"Vater, ist denn nicht erschaffen / Für mich eine Männlichkeit?",,EB 922,,,18. Jh.,,1700-1770,,7.10,,,,,,,
"Anon - Vergiß mein nicht (Sie naht, sie naht, die fürchterliche Stunde)",Anon,"Vergiß mein nicht (Sie naht, sie naht, die fürchterliche Stunde)",,,,,ab Mitte 19. Jh.,,1830-1900,,4.106,,,,,,,
"Anon - Viktoria, ihr Helden, seid munter",Anon,"Viktoria, ihr Helden, seid munter",,HA 150,,,18. Jh.,,1700-1770,,4.70,,,,,,,
"Anon - Vil werde sele, halt dich wert",Anon,"Vil werde sele, halt dich wert",,WA II 452,,,14. Jh.,,-1600,,4.59,,,,,,,
Anon - Von meyden bin ich dick beraubt,Anon,Von meyden bin ich dick beraubt,Locheimer Liederbuch,Locheimer Liederbuch,,,,,-1600,,7.7,,,,,,,
Anon - Von üppiglichen Dingen,Anon,Von üppiglichen Dingen,,vgl. EB 1534,,,15. Jh.,,-1600,,9.1,,,,,,,
Anon - Vorüber zieht manch edler,Anon,Vorüber zieht manch edler Aar,Wunderhorn (1805/08),DKW Ritter Peter von Stauffenberg und die Meerfeye 1,,,1595,,-1600,,6.33,,,,,http://www.zeno.org/nid/2000446608X,,
"Anon - Wächter, hüt dich bas",Anon,"Wächter, hüt dich bas",Wunderhorn (1805/08),Wunderhorn (1805/08),,,,,-1600,,7.3,,,,,,,
Anon - Waer diu werlt alliu min,Anon,Waer diu werlt alliu min,Minnesangs Frühling,Minnesangs Frühling,,,Ma.,,-1600,,5.6,,,,,,,
Anon - Wahnsinn und Mutterliebe oder Die schreckliche Tat der Verzwiflung (Auch eine Tat des Schreckens ist),Anon,Wahnsinn und Mutterliebe oder Die schreckliche Tat der Verzwiflung (Auch eine Tat des Schreckens ist),,,,,,,1830-1900,,6.15,,,,,,,
Anon - Wahre Freundschaft soll nicht,Anon,Wahre Freundschaft soll nicht,,,,,,,,,4.49,,,,,,,
Anon - War einst ein jung jung Zimmergesell,Anon,War einst ein jung jung Zimmergesell,,EB 129a,,,,,,,4.34,,,,,,,
Anon - War ich ein edler Falke,Anon,War ich ein edler Falke,,,,,,,,,4.20,,,,,,,
Anon - Warum bist du denn so traurig,Anon,Warum bist du denn so traurig,,EB 782a,,,,,,,4.49,,,,,,,
Anon - Was drängen die Menschen sich,Anon,Was drängen die Menschen sich,,,,,,,,,5.5,,,,,,,
Anon - Was fang ich armer Teufel an,Anon,Was fang ich armer Teufel an,,,,,,,1830-1900,,6.15,,,,,,,
"Anon - Was mein Gott will, das g'scheh allzeit",Anon,"Was mein Gott will, das g'scheh allzeit",,WA III 1240,,,16. Jh.,,-1600,,10.2,,,,,,,
Anon - Was wird es doch / Des Greuels,Anon,Was wird es doch / Des Greuels,,WA III 883,,,,,-1600,,12.1,,,,,,,
Anon - Was wird es doch / Des Wunders noch,Anon,Was wird es doch / Des Wunders noch,,EB 1678,,,um 1530,,-1600,,12.1,,,,,,,
Anon - Was wird es doch / Des Wunders noch,Anon,Was wird es doch / Des Wunders noch,,WA II 1309,,,,,-1600,,12.1,,,,,,,
Anon - Was wollen wir aber singen / und wöllens heben an,Anon,Was wollen wir aber singen / und wöllens heben an,,WA II 1226,,,,,,,4.20,,,,,,,
Anon - Was wölln wir aber heben an / ein neues Lied zu singen / wohl von dem König aus Frankreich / Mailand das wollt er zwingen,Anon,Was wölln wir aber heben an / ein neues Lied zu singen / wohl von dem König aus Frankreich / Mailand das wollt er zwingen,,EB 270,,,16. Jh.,,-1600,,8.15,,,,,,,
Anon - Was wolln wir aber singen / Was wollt ihr für ein Lied,Anon,Was wolln wir aber singen / Was wollt ihr für ein Lied,Wunderhorn (1805/08),DKW Die Frau von Weissenburg,,,,,,,4.25,,,,,http://www.zeno.org/nid/20004465245,,
Anon - Weiß mir ein Blümli blaue,Anon,Weiß mir ein Blümli blaue,,EB 387,,,16. Jh.,,-1600,,8.7,,,,,,,
Anon - Wenn nun mein Leben hat ein / Allhier in dieser Zeit,Anon,Wenn nun mein Leben hat ein End / Allhier in dieser Zeit,,FT I 50,,,1611,,1600-1700,,7.6,,,,,,,
Anon - Wer das Scheiden hat erfunden,Anon,Wer das Scheiden hat erfunden,,,,,,,,,4.49,,,,,,,
Anon - Wer fragt danach,Anon,Wer fragt danach,Wunderhorn (1805/08),DKW Wer fragt danach,,,,,,,12.1,,,,,,,
Anon - Wer Hoffart treibt mit fremdem Gut,Anon,Wer Hoffart treibt mit fremdem Gut,,EB 1176,,,16. Jh.,,-1600,,10.2,,,,,,,
Anon - Wer ist der bunte Mann im Bilde (Der Rattenfänger von Hameln),Anon,Wer ist der bunte Mann im Bilde (Der Rattenfänger von Hameln),Wunderhorn (1805/08),EB 14,,,,,,,4.69,,,,,http://www.zeno.org/nid/20004464168,,
"Anon - Wer lieben will, muß leiden",Anon,"Wer lieben will, muß leiden",,,,,,,,,4.20,,,,,,,
Anon - Wer lützel b'halt und viel vertut,Anon,Wer lützel b'halt und viel vertut,,EB 1175,,,16. Jh.,,-1600,,10.2,,,,,,,
"Anon - Wie kommts, daß du so traurig bist",Anon,"Wie kommts, daß du so traurig bist",,EB 531a,,,,,,,4.34,,,,,,,
Anon - Wie schön blüht uns der Maien,Anon,Wie schön blüht uns der Maien,Wunderhorn (1805/08),EB 390,,,16. Jh.,,-1600,,7.1,,,,,http://www.zeno.org/nid/20004465954,,
Anon - Wie soll mir denn geschehen,Anon,Wie soll mir denn geschehen,,"WA V 744,FT I 49",,,,,-1600,,8.5,,,,,,,
Anon - Wie tut mir mein Herze bluten,Anon,Wie tut mir mein Herze bluten,,,,,,,,,4.49,,,,,,,
Anon - Wie wird mir denn geschehen,Anon,Wie wird mir denn geschehen,,EB 1680,,,,,-1600,,8.5,,,,,,,
Anon - Wie wol ich bin ein alter gris,Anon,Wie wol ich bin ein alter gris,,LI 210,,,1499,,-1600,,6.19,,,,,,,
Anon - Wilhelm bin ich der Telle,Anon,Wilhelm bin ich der Telle,,EB 32,,,,,-1600,,8.7,,,,,,,
"Anon - Wilhelm, komm an meine Seite",Anon,"Wilhelm, komm an meine Seite",,EB 347,,,1810,,1770-1830,,"4.49,8.26",,,,,,,
Anon - Wir kommen daher ohn allen Spott,Anon,Wir kommen daher ohn allen Spott,,EB 1198,,,,,-1600,,2.5,,,,,,,
"Anon - Wir liebten uns, wie sich zwei Herzen lieben",Anon,"Wir liebten uns, wie sich zwei Herzen lieben",,,,,ab Mitte 19. Jh.,,1830-1900,,4.106,,,,,,,
"Anon - Wir preußischen Husaren, wann kriegen wir Geld",Anon,"Wir preußischen Husaren, wann kriegen wir Geld",,EB 1317,,,1758,,1700-1770,,4.62,,,,,,,
"Anon - Wir wollen ein Liedel heben an, / Was sich hat angespunnen",Anon,"Wir wollen ein Liedel heben an, / Was sich hat angespunnen",Wunderhorn (1805/08),DKW Der Prinzenraub,,,1705,,1700-1770,,5.4,,,,,http://www.zeno.org/nid/20004465512,,
Anon - Wo soll ich mich hinkehren / Ich dummes Brüderlein,Anon,Wo soll ich mich hinkehren / Ich dummes Brüderlein,,,,,Anfang 16. Jh.,,-1600,,8.5,,,,,http://www.zeno.org/nid/20004468244,,
"Anon - Wo untriuwe wirt bezwungen, / freut sich das herze min",Anon,"Wo untriuwe wirt bezwungen, / freut sich das herze min",,LI 113,,,15. Jh.,,-1600,,7.1,,,,,,,
"Anon - Wohlauf, wohlauf mit lauter Stimm / tut uns der Wächter singen",Anon,"Wohlauf, wohlauf mit lauter Stimm / tut uns der Wächter singen",,EB 798,,,,,-1600,,7.4,,,,,,,
Anon - Wol auf in gotes nam und kraft / mit sant Jörgen ritterschaft,Anon,Wol auf in gotes nam und kraft / mit sant Jörgen ritterschaft,,LI 100,,,15. Jh.,,-1600,,5.7,,,,,,,
Anon - Wol uf wir wellind jagen gohn,Anon,Wol uf wir wellind jagen gohn,,EB 1434,,,15./16. Jh.,,-1600,,5.2,,,,,,,
Anon - Wöll wir aber singen / Von einem Edelmann,Anon,Wöll wir aber singen / Von einem Edelmann,,"EB 242,LI 127",,,15. Jh.,,-1600,,"7.6,7.6cbc",,,,,,Frank: ältere Variante mit Reimordnung ... cbc,
"Anon - Wöllt ihr hören ein neues Gedicht, / was die Domherren hant entricht",Anon,"Wöllt ihr hören ein neues Gedicht, / was die Domherren hant entricht",,LI 112,,,15. Jh.,,-1600,,5.6,,,,,,,
"Anon - Wöllt ihr hören ein neues Gedicht, / wie es zu Kopfstain geschehen ist",Anon,"Wöllt ihr hören ein neues Gedicht, / wie es zu Kopfstain geschehen ist",,LI 245,,,,,-1600,,5.6,,,,,,,
"Anon - Wollts auf, wir wollens lesen",Anon,"Wollts auf, wir wollens lesen",,WA II 830,,,15. Jh.,,-1600,,2.14,,,,,,,
Anon - Woluf ir frommen eidgnoßschaft,Anon,Woluf ir frommen eidgnoßschaft,,LI 146,,,15. Jh.,,-1600,,6.33,,,,,,,
Anon - Zu dir erheb ich meine Sinnen,Anon,Zu dir erheb ich meine Sinnen,,FT IV 661,,,,,,,8.36,,,,,,,
"Anon - Zu Felsberg bat mich Kledte, / Ich sollt ihm schreiben recht",Anon,"Zu Felsberg bat mich Kledte, / Ich sollt ihm schreiben recht",Wunderhorn (1805/08),DKW Die Braut von Bessa,1614,,,,1600-1700,,8.9,,,,,http://www.zeno.org/nid/20004467507,,
Anon - Zu Gott in dem Himmel droben (Psalm 77),"""Lobwasser, Ambrosius""",Zu Gott in dem Himmel droben (Psalm 77),,,,,,,-1600,,8.28,,,,,,,
Anon - Zu Koblenz auf der Brücke[n],Anon,Zu Koblenz auf der Brücke[n],Wunderhorn (1805/08),EB 550,,,,,,,4.20,,,,,http://www.zeno.org/nid/2000446432X,,
Anon - Zu Konstanz saß ein Kaufmann reich,Anon,Zu Konstanz saß ein Kaufmann reich,Wunderhorn (1805/08),EB 153a,,,,,-1600,,5.6,,,,,http://www.zeno.org/nid/20004469232,,
Anon - Zu singen will ich fangen an / Zum Lob der kaiserlichen Kron,Anon,Zu singen will ich fangen an / Zum Lob der kaiserlichen Kron,Wunderhorn (1805/08),DKW Das Lied vom Landgrafen,,,,,1770-1830,,6.19,,,,,http://www.zeno.org/nid/20004466799,,
Anon - Zu singen wölln wir fangen an,Anon,Zu singen wölln wir fangen an,,WA V 1437,,,,,-1600,,2.5,,,,,,,
"Anton Ulrich - Ach Gott, ist noch dein Geist bei mir","""Anton Ulrich, Herzog von Braunschweig""","Ach Gott, ist noch dein Geist bei mir",,,,,17. Jh.,,1600-1700,,7.7,,,,,,,
Anton Ulrich - Gott gibt mir einen Freund,"""Anton Ulrich, Herzog von Braunschweig""",Gott gibt mir einen Freund,,,,,17. Jh.,,1600-1700,,4.120,,,,,,,
"Anton Ulrich - Gott, du hast es so","""Anton Ulrich, Herzog von Braunschweig""","Gott, du hast es so",,,,,Barock,,1600-1700,,6.27,,,,,,,
Anton Ulrich - Jesus ist mein Aufenthalt,"""Anton Ulrich, Herzog von Braunschweig""",Jesus ist mein Aufenthalt,,,,,,,1600-1700,,6.23,,,,,,,
"Anton Ulrich - Liebe Seele, tu mich schwingen","""Anton Ulrich, Herzog von Braunschweig""","Liebe Seele, tu mich schwingen",,,,,,,1600-1700,,8.25,,,,,,,
"Anton Ulrich - Nach dir, o Gott, verlanget mich","""Anton Ulrich, Herzog von Braunschweig""","Nach dir, o Gott, verlanget mich",,,,,,,1600-1700,,4.58,,,,,,,
Anton Ulrich - Nun tret ich wieder aus der Ruh,"""Anton Ulrich, Herzog von Braunschweig""",Nun tret ich wieder aus der Ruh,,,,,,,1600-1700,,8.18,,,,,,,
Anton Ulrich - Wer Geduld und Demut liebet,"""Anton Ulrich, Herzog von Braunschweig""",Wer Geduld und Demut liebet,,,,,,,1600-1700,,4.51,,,,,,,
Apelles von Löwenstern - Ach wie findest du so selten,"""Apelles von Löwenstern, Matthäus""",Ach wie findest du so selten,,,,,Barock,,1600-1700,,6.27,,,,,,,
"Apelles von Löwenstern - Christe, du Beistand","""Apelles von Löwenstern, Matthäus""","Christe, du Beistand",,,,,,,1600-1700,,4.83,,,,,,,
Apelles von Löwenstern - Mein Augen schließ ich jetzt,"""Apelles von Löwenstern, Matthäus""",Mein Augen schließ ich jetzt,,,,,,,1600-1700,,4.115,,,,,,,
Apelles von Löwenstern - Morgensegen,"""Apelles von Löwenstern, Matthäus""",Morgensegen,,,,,,,1600-1700,,6.1,,,,,,,
Apelles von Löwenstern - Nun preiset alle Gottes Barmherzigkeit,"""Apelles von Löwenstern, Matthäus""",Nun preiset alle Gottes Barmherzigkeit,,,,,1644,,1600-1700,,4.80,,,,,,,
Arendt - Bergwindballade,"""Arendt, Erich""",Bergwindballade,,,,,,,1900-2000,,4.34,,,,,0,,
Arendt - Cervantes,"""Arendt, Erich""",Cervantes,,,,,,,1900-2000,,4.118,,,,,0,,
Arendt - Der Dorfteich,"""Arendt, Erich""",Der Dorfteich,,,,,,,1900-2000,,4.106,,,,,0,,
Arendt - Fest in Marakesch,"""Arendt, Erich""",Fest in Marakesch,,,,,,,1900-2000,,4.116,,,,,0,,
Arendt - Liebeslied,"""Arendt, Erich""",Liebeslied,,,,,,,1900-2000,,4.10,,,,,0,,
Armbruster - An die Freiheit,"""Armbruster, Johann Melchior""",An die Freiheit,Schwäbischer Musenalmanach 1782,Schwäbischer Musenalmanach 1782,,,1782,,1770-1830,,5.14,,,,,0,,
Arndt - Abendlied,"""Arndt, Ernst Moritz""",Abendlied,,,,,,1818,1770-1830,,8.7,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7426,http://www.zeno.org/nid/20004459814,,
Arndt - Allein,"""Arndt, Ernst Moritz""",Allein,,,,,,,1770-1830,,6.44,,,,,http://www.zeno.org/nid/20004460227,,
Arndt - Alterswehmut,"""Arndt, Ernst Moritz""",Alterswehmut,,,,,,,1770-1830,,8.7,,,,,http://www.zeno.org/nid/20004460626,,
Arndt - An die deutschen Fürsten,"""Arndt, Ernst Moritz""",An die deutschen Fürsten,,,,,,,1770-1830,,8.34,,,,,http://www.zeno.org/nid/2000446026X,,
Arndt - Auf die Schlacht bei Groß-Görschen oder Lützen,"""Arndt, Ernst Moritz""",Auf die Schlacht bei Groß-Görschen oder Lützen,,,,,,,1770-1830,,8.26,,,,,http://www.zeno.org/nid/20004459334,,
"Arndt - Auf, danket Gott und betet an","""Arndt, Ernst Moritz""","Auf, danket Gott und betet an",,,,,19. Jh.,,1770-1830,,7.7,,,,,http://www.zeno.org/nid/2000445927X,,
Arndt - Bundeslied,"""Arndt, Ernst Moritz""",Bundeslied,,,,,,1815,1770-1830,,8.37,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7429,http://www.zeno.org/nid/20004459628,,
Arndt - Das Feuerlied,"""Arndt, Ernst Moritz""",Das Feuerlied,,,,,1817,,1770-1830,,6.38,,,,,http://www.zeno.org/nid/20004459652,,
Arndt - Das Lied vom Feldmarschall,"""Arndt, Ernst Moritz""",Das Lied vom Feldmarschall,,,,,1813,1813,1770-1830,,4.62,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df742b,http://www.zeno.org/nid/20004459571,,
Arndt - Das Lied vom heiligen deutschen Lande,"""Arndt, Ernst Moritz""",Das Lied vom heiligen deutschen Lande,,,,,,,1770-1830,,8.7,,,,,http://www.zeno.org/nid/2000445958X,,
Arndt - Das Lied vom Schill,"""Arndt, Ernst Moritz""",Das Lied vom Schill,,,,,,1812,1770-1830,,4.62,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df742d,http://www.zeno.org/nid/20004459091,,
Arndt - Das Wort,"""Arndt, Ernst Moritz""",Das Wort,,,,,,,1770-1830,,6.35,,,,,http://www.zeno.org/nid/20004459830,,
"Arndt - Der Fels des Heils (Ich weiß, woran ich glaube)","""Arndt, Ernst Moritz""","Der Fels des Heils (Ich weiß, woran ich glaube)",,,,,,,1770-1830,,8.7,,,,,http://www.zeno.org/nid/20004459822,,
Arndt - Des Schiffers Traum,"""Arndt, Ernst Moritz""",Des Schiffers Traum,,,,,,,1770-1830,,8.34,,,,,http://www.zeno.org/nid/20004460057,,
