Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
8.9,,,jambisch,[3 3 3 3 3 3 3 3],w m w m w w m m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + - || - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - +<br>- + - + - +</p>",a b a b c c d d,jüngere Prägung (keine spezifische Herkunft),111,08 Achtzeiler,,,,,,,,,,,,
8.10,,,jambisch,[3 3 3 3 3 3 3 3],w w w m w w w m,- + - + - + - || - + - + - + - || - + - + - + - || - + - + - + || - + - + - + - || - + - + - + - || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -<br>- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - + -<br>- + - + - +</p>",a a a b c c c b,(altdeutsches) Kirchen-/Volkslied,110,08 Achtzeiler,,,,,,,,,,,,
8.11,,,jambisch,[4 2 4 2 4 2 4 2],w m w m w m w m,- + - + - + - + - || - + - + || - + - + - + - + - || - + - + || - + - + - + - + - || - + - + || - + - + - + - + - || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - +<br>- + - + - + - + -<br>- + - +<br>- + - + - + - + -<br>- + - +<br>- + - + - + - + -<br>- + - +</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),117,08 Achtzeiler,,,,,,,,,,,,
8.12,,,jambisch,[4 3 4 3 2 2 3 3],m w m w m m w w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + || - + - + || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - +<br>- + - +<br>- + - + - + -<br>- + - + - + -</p>",a b a b c c d d,jüngere Prägung (keine spezifische Herkunft),103,08 Achtzeiler,,,,,,,,,,,,
8.13,Vagantenstrophe,,trochäisch,[4 3 4 3 4 3 4 3],m w m w m w m w,+ - + - + - + || + - + - + - || + - + - + - + || + - + - + - || + - + - + - + || + - + - + - || + - + - + - + || + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + -<br>+ - + - + - +<br>+ - + - + -<br>+ - + - + - +<br>+ - + - + -<br>+ - + - + - +<br>+ - + - + -</p>",a b a b c d c d / x a x a x b x b,mittellateinische Vagantendichtung,50,08 Achtzeiler,3,9,2,5,2,1,,,,,,
8.14,,,jambisch,[4 3 4 3 4 3 4 3],m m m m m m m m,- + - + - + - + || - + - + - + || - + - + - + - + || - + - + - + || - + - + - + - + || - + - + - + || - + - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - +<br>- + - + - + - +<br>- + - + - +<br>- + - + - + - +<br>- + - + - +<br>- + - + - + - +<br>- + - + - +</p>",a b a b c d c d / x a x a x b x b,"(altdeutsches) Kirchen-/Volkslied,englisch",36,08 Achtzeiler,1,1,2,10,8,3,,,,20,22,
8.15,Vagantenstrophe (auftaktig),,jambisch,[4 3 4 3 4 3 4 3],m w m w m w m w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -</p>",a b a b c d c d,"mittellateinische Vagantendichtung,(altdeutsches) Kirchen-/Volkslied",15,08 Achtzeiler,24,20,35,12,11,2,10,9,5,19,20,
8.16,,,daktylisch mit Auftakt,[4 3 4 3 4 3 4 3],m w m w m w m w,- + - - + - - + - - + || - + - - + - - + - || - + - - + - - + - - + || - + - - + - - + - || - + - - + - - + - - + || - + - - + - - + - || - + - - + - - + - - + || - + - - + - - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + - - +<br>- + - - + - - + -<br>- + - - + - - + - - +<br>- + - - + - - + -<br>- + - - + - - + - - +<br>- + - - + - - + -<br>- + - - + - - + - - +<br>- + - - + - - + -</p>",a b a b c d c d,jüngere Prägung (keine spezifische Herkunft),111,08 Achtzeiler,,,,,,,,,,,,
8.17,,,jambisch,[4 3 4 3 4 4 3 3],m w m w m m w w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + -</p>",a b a b c c d d,(altdeutsches) Kirchen-/Volkslied,66,08 Achtzeiler,4,6,6,3,2,0,,,,,,
8.18,,,jambisch,[4 4 3 4 4 3 4 4],m m w m m w m m,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + - +</p>",a a b c c b d d,jüngere Prägung (keine spezifische Herkunft),112,08 Achtzeiler,,,,,,,,,,,,
