Nr,Name,Versform,Verstyp,Hebungsschema,Kadenzen,Versschema,Versschema_HTML,Reimschema,Herkunft,Rang,Strophentyp,VT00001600,VT16001700,VT17001770,VT17701830,VT18301900,VT19001980,R00001600,R16001700,R17001770,R17701830,R18301900,R19001980
2.1,,,jambisch,[2 2],m m,- + - + || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - +<br>- + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),122,02 Zweizeiler,,,,,,,,,,,,
2.2,,,jambisch,[3 3],w w,- + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -</p>",a a,(altdeutsches) Kirchen-/Volkslied,116,02 Zweizeiler,,,,,,,,,,,,
2.3,,,trochäisch,[4 4],m m,+ - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),101,02 Zweizeiler,,,,,,,,,,,,
2.4,,,trochäisch,[4 4],w w,+ - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -</p>",a a,jüngere Prägung (keine spezifische Herkunft),108,02 Zweizeiler,,,,,,,,,,,,
2.5,,,jambisch,[4 4],m m,- + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +</p>",a a,"(altdeutsches) Kirchen-/Volkslied,lateinische Hymnendichtung",18,02 Zweizeiler,31,1,4,5,12,15,7,,,,18,15
2.6,,,daktylisch mit Auftakt,[4 4],m m,- + - - + - - + - - + || - + - - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + - - +<br>- + - - + - - + - - +</p>",a a,(altdeutsches) Kirchen-/Volkslied,81,02 Zweizeiler,,,,,,,,,,,,
2.7,,,trochäisch,[5 5],m m,+ - + - + - + - + || + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - +<br>+ - + - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),91,02 Zweizeiler,0,0,0,0,0,5,,,,,,
2.8,,,trochäisch,[5 5],w w,+ - + - + - + - + - || + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - + -<br>+ - + - + - + - + -</p>",a a,jüngere Prägung (keine spezifische Herkunft),77,02 Zweizeiler,0,0,0,0,2,6,,,,,,
2.9,,,jambisch,[5 5],m m,- + - + - + - + - + || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),55,02 Zweizeiler,1,0,1,0,6,6,,,,,,
2.10,,Endecasillabo,jambisch,[5 5],w w,- + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a a,(altdeutsches) Kirchen-/Volkslied,80,02 Zweizeiler,1,2,1,0,2,4,,,,,,
2.11,elegisches Distichon,"Hexameter,Pentameter",daktylisch,[6 6],w m,+ - (-) + - (-) + - (-) + - (-) + - - + - || + - (-) + - (-) + | + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - (-) + - (-) + - (-) + - (-) + - - + -<br>+ - (-) + - (-) + | + - - + - - +</p>",x x (ungereimt),Antike,,02 Zweizeiler,,,,,,,,,,,,
2.12,Alexandrinercouplet (m),"Alexandriner,jambischer Trimeter",jambisch,[6 6],m m,- + - + - + | - + - + - + || - + - + - + | - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + | - + - + - +<br>- + - + - + | - + - + - +</p>",a a,jüngere Prägung (keine spezifische Herkunft),118,02 Zweizeiler,,,,,,,,,,,,
2.13,Alexandrinercouplet (w),"Alexandriner,jambischer Trimeter",jambisch,[6 6],w w,- + - + - + | - + - + - + - || - + - + - + | - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + | - + - + - + -<br>- + - + - + | - + - + - + -</p>",a a,jüngere Prägung (keine spezifische Herkunft),109,02 Zweizeiler,,,,,,,,,,,,
2.14,,,jambisch,[6 6],m m,- + - + - + - | - + - + - + || - + - + - + - | - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - | - + - + - +<br>- + - + - + - | - + - + - +</p>",a a,(altdeutsches) Kirchen-/Volkslied,102,02 Zweizeiler,,,,,,,,,,,,
2.15,,jambischer Septenar,jambisch,[7 7],m m,- + - + - + - + | - + - + - + || - + - + - + - + | - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + | - + - + - +<br>- + - + - + - + | - + - + - +</p>",a a,lateinische Hymnendichtung,105,02 Zweizeiler,,,,,,,,,,,,
2.16,,trochäischer Septenar,trochäisch,[8 8],m m,+ - + - + - + - | + - + - + - + || + - + - + - + - | + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - | + - + - + - +<br>+ - + - + - + - | + - + - + - +</p>",a a,Antike,111,02 Zweizeiler,,,,,,,,,,,,
2.17,,trochäischer Oktonar/Tetrameter,trochäisch,[8 8],w w,+ - + - + - + - | + - + - + - + - || + - + - + - + - | + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + - | + - + - + - + -<br>+ - + - + - + - | + - + - + - + -</p>",a a,Antike,109,02 Zweizeiler,,,,,,,,,,,,
3.1,(Ritornellstrophe),Endecasillabo,jambisch,[2 5 5],w w w,(-) + - (-) + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + -&nbsp;&nbsp;&nbsp;(oder + - - + -)<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a x a,italienisch,117,03 Dreizeiler,,,,,,,,,,,,
3.2,,,jambisch,[4 4 3],m m w,- + - + - + - + || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -</p>",a a x,(altdeutsches) Kirchen-/Volkslied,102,03 Dreizeiler,,,,,,,,,,,,
3.3,,,trochäisch,[4 4 4],m m m,+ - + - + - + || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +</p>",a a a,lateinische Hymnendichtung,105,03 Dreizeiler,,,,,,,,,,,,
3.4,,,jambisch,[4 4 4],m m m,- + - + - + - + || - + - + - + - + || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +</p>",a a a,(altdeutsches) Kirchen-/Volkslied,78,03 Dreizeiler,9,1,0,1,0,2,,,,,,
3.5,,,jambisch,[4 4 4],m w m,- + - + - + - + || - + - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - + -<br>- + - + - + - +</p>",x x x (ungereimt),jüngere Prägung (keine spezifische Herkunft),121,03 Dreizeiler,,,,,,,,,,,,
3.6,(Villanellenstrophe),,jambisch,[5 5 5],m m m,- + - + - + - + - + || - + - + - + - + - + || - + - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - +<br>- + - + - + - + - +<br>- + - + - + - + - +</p>",a a a,"lateinische Hymnendichtung,italienisch,französisch",107,03 Dreizeiler,,,,,,,,,,,,
3.7,Terzine,,jambisch,[5 5 5],,- + - + - + - + - + (-) || - + - + - + - + - + (-) || - + - + - + - + - + (-),"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + (-)<br>- + - + - + - + - + (-)<br>- + - + - + - + - + (-)</p>",a b a  b c b  c d c ...,italienisch,26,03 Dreizeiler,1,0,1,3,15,13,,,,,15,17
3.8,,,jambisch,[5 5 5],w w w,- + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a a a,italienisch,113,03 Dreizeiler,,,,,,,,,,,,
3.9,(Ritornellstrophe),Endecasillabo,jambisch,[5 5 5],w w w,- + - + - + - + - + - || - + - + - + - + - + - || - + - + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + - + -<br>- + - + - + - + - + -<br>- + - + - + - + - + -</p>",a x a,italienisch,88,03 Dreizeiler,0,0,0,7,0,1,,,,,,
4.1,,,daktylisch,[2 2 2 2],w m w m,+ - - + - || + - - + || + - - + - || + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + -<br>+ - - +<br>+ - - + -<br>+ - - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),109,04 Vierzeiler,,,,,,,,,,,,
4.2,,,daktylisch,[2 2 2 2],w w w m,+ - - + - || + - - + - || + - - + - || + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + -<br>+ - - + -<br>+ - - + -<br>+ - - +</p>",x x x x (ungereimt),jüngere Prägung (keine spezifische Herkunft),116,04 Vierzeiler,,,,,,,,,,,,
4.3,,,jambisch,[2 2 2 2],m m m m,- + - + || - + - + || - + - + || - + - + ,"<p style=""font-family:'Lucida Console', monospace"">- + - +<br>- + - +<br>- + - +<br>- + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),99,04 Vierzeiler,,,,,,,,,,,,
4.4,,,jambisch,[2 2 2 2],w m w m,- + - + - || - + - + || - + - + - || - + - + ,"<p style=""font-family:'Lucida Console', monospace"">- + - + -<br>- + - +<br>- + - + -<br>- + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),86,04 Vierzeiler,,,,,,,,,,,,
4.5,,,daktylisch mit Auftakt,[2 2 2 2],w m w m,- + - - + - || - + - - + || - + - - + - || - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + -<br>- + - - +<br>- + - - + -<br>- + - - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),49,04 Vierzeiler,0,0,6,5,5,5,,,,,,
4.6,,,daktylisch mit Auftakt,[2 2 2 2],w w w w,- + - - + - || - + - - + - || - + - - + - || - + - - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - - + -<br>- + - - + -<br>- + - - + -<br>- + - - + -</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),104,04 Vierzeiler,,,,,,,,,,,,
4.7,,,jambisch,[3 2 3 2],m m m m,- + - + - + || - + - + || - + - + - + || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - +<br>- + - + - +<br>- + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),107,04 Vierzeiler,,,,,,,,,,,,
4.8,,,jambisch,[3 2 3 2],m w m w,- + - + - + || - + - + - || - + - + - + || - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - + -<br>- + - + - +<br>- + - + -</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),111,04 Vierzeiler,,,,,,,,,,,,
4.9,,,jambisch,[3 2 3 2],w m w m,- + - + - + - || - + - + || - + - + - + - || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - +<br>- + - + - + -<br>- + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),95,04 Vierzeiler,,,,,,,,,,,,
4.10,,,trochäisch,[3 3 3 3],m m m m,+ - + - + || + - + - + || + - + - + || + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - +<br>+ - + - +<br>+ - + - +<br>+ - + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),100,04 Vierzeiler,,,,,,,,,,,,
4.11,,,daktylisch,[3 3 3 3],m m m m,+ - - + - - + || + - - + - - + || + - - + - - + || + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - +<br>+ - - + - - +<br>+ - - + - - +<br>+ - - + - - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),107,04 Vierzeiler,,,,,,,,,,,,
4.12,'Hebbelform',,daktylisch,[3 3 3 3],m w w m,+ - - + - - + || + - - + - - + - || + - - + - - + - || + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - +<br>+ - - + - - + -<br>+ - - + - - + -<br>+ - - + - - +</p>",a b b a,jüngere Prägung (keine spezifische Herkunft),115,04 Vierzeiler,,,,,,,,,,,,
4.13,,,trochäisch,[3 3 3 3],w m w m,+ - + - + - || + - + - + || + - + - + - || + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + -<br>+ - + - +<br>+ - + - + -<br>+ - + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),44,04 Vierzeiler,0,0,2,4,6,7,,,,,,
4.14,,,daktylisch,[3 3 3 3],w m w m,+ - - + - - + - || + - - + - - + || + - - + - - + - || + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - + -<br>+ - - + - - +<br>+ - - + - - + -<br>+ - - + - - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),72,04 Vierzeiler,,,,,,,,,,,,24
4.15,,,daktylisch,[3 3 3 3],w w w w,+ - - + - - + - || + - - + - - + - || + - - + - - + - || + - - + - - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - + -<br>+ - - + - - + -<br>+ - - + - - + -<br>+ - - + - - + -</p>",a b a b / x a x a,(altdeutsches) Kirchen-/Volkslied,112,04 Vierzeiler,,,,,,,,,,,,
4.16,,,jambisch,[3 3 3 3],m m m m,- + - + - + || - + - + - + || - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - + - +<br>- + - + - +<br>- + - + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),62,04 Vierzeiler,0,1,3,3,3,5,,,,,,
4.17,,,jambisch,[3 3 3 3],m w m w,- + - + - + || - + - + - + - || - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - + - + -<br>- + - + - +<br>- + - + - + -</p>",a b a b / x a x a,(altdeutsches) Kirchen-/Volkslied,71,04 Vierzeiler,0,1,0,3,4,3,,,,,,
4.18,,,jambisch,[3 3 3 3],m w w m,- + - + - + || - + - + - + - || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - +<br>- + - + - + -<br>- + - + - + -<br>- + - + - +</p>",a b b a,jüngere Prägung (keine spezifische Herkunft),106,04 Vierzeiler,,,,,,,,,,,,
4.19,,,jambisch,[3 3 3 3],w m m w,- + - + - + - || - + - + - + || - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - +<br>- + - + - + -</p>",a b b a,jüngere Prägung (keine spezifische Herkunft),114,04 Vierzeiler,,,,,,,,,,,,
4.20,halber Hildebrandston,,jambisch,[3 3 3 3],w m w m,- + - + - + - || - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + -<br>- + - + - +</p>",a b a b / x a x a,mittelalterliche Heldenepik,2,04 Vierzeiler,16,7,8,77,89,54,14,,,2,2,2
4.21,,,daktylisch mit Auftakt,[3 3 3 3],w m w m,- + - - + - - + - || - + - - + - - + || - + - - + - - + - || - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + -<br>- + - - + - - +<br>- + - - + - - + -<br>- + - - + - - +</p>",a b a b,(altdeutsches) Kirchen-/Volkslied,32,04 Vierzeiler,1,0,0,7,8,9,,,,,21,23
4.22,,,jambisch,[3 3 3 3],w w m m,- + - + - + - || - + - + - + - || - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -<br>- + - + - +<br>- + - + - +</p>",a a b b,jüngere Prägung (keine spezifische Herkunft),107,04 Vierzeiler,,,,,,,,,,,,
4.23,,,jambisch,[3 3 3 3],w w w w,- + - + - + - || - + - + - + - || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -<br>- + - + - + -<br>- + - + - + -</p>",a a b b,(altdeutsches) Kirchen-/Volkslied,77,04 Vierzeiler,5,6,2,0,1,1,,,,,,
4.24,,,jambisch,[3 3 3 3],w w w w,- + - + - + - || - + - + - + - || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + -<br>- + - + - + -<br>- + - + - + -</p>",a b a b / x a x a,(altdeutsches) Kirchen-/Volkslied,84,04 Vierzeiler,1,0,0,1,2,4,,,,,,
4.25,,,jambisch,[3 3 4 3],w m m m,- + - + - + - || - + - + - + || - + - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - +<br>- + - + - + - +<br>- + - + - +</p>",x a x a,(altdeutsches) Kirchen-/Volkslied,111,04 Vierzeiler,,,,,,,,,,,,
4.26,,,jambisch,[3 4 3 3],w m w m,- + - + - + - || - + - + - + - + || - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),106,04 Vierzeiler,,,,,,,,,,,,
4.27,,,jambisch,[3 4 3 4],w m w m,- + - + - + - || - + - + - + - + || - + - + - + - || - + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + -<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),96,04 Vierzeiler,,,,,,,,,,,,
4.28,,,jambisch,[4 2 4 2],m m m m,- + - + - + - + || - + - + || - + - + - + - + || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - +<br>- + - + - + - +<br>- + - +</p>",a b a b,(altdeutsches) Kirchen-/Volkslied,107,04 Vierzeiler,,,,,,,,,,,,
4.29,,,jambisch,[4 2 4 2],w m w m,- + - + - + - + - || - + - + || - + - + - + - + - || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - +<br>- + - + - + - + -<br>- + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),96,04 Vierzeiler,0,0,4,2,1,2,,,,,,
4.30,,,trochäisch,[4 3 4 3],m m m m,+ - + - + - + || + - + - + || + - + - + - + || + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - +<br>+ - + - + - +<br>+ - + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),68,04 Vierzeiler,0,0,1,2,2,6,,,,,,
4.31,"Vagantenstrophe (halb, auftaktlos)",,trochäisch,[4 3 4 3],m w m w,+ - + - + - + || + - + - + - || + - + - + - + || + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + -<br>+ - + - + - +<br>+ - + - + -</p>",a b a b / x a x a,mittellateinische Vagantendichtung,20,04 Vierzeiler,1,1,7,15,16,11,,,,18,13,21
4.32,,,trochäisch,[4 3 4 3],w m w m,+ - + - + - + - || + - + - + || + - + - + - + - || + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - +<br>+ - + - + - + -<br>+ - + - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),75,04 Vierzeiler,,,,,,,,,,,,
4.33,,,trochäisch,[4 3 4 3],w w w w,+ - + - + - + - || + - + - + - || + - + - + - + - || + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + -<br>+ - + - + - + -<br>+ - + - + -</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),112,04 Vierzeiler,,,,,,,,,,,,
4.34,Chevy-Chase-Strophe,,jambisch,[4 3 4 3],m m m m,- + - + - + - + || - + - + - + || - + - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - +<br>- + - + - + - +<br>- + - + - +</p>",a b a b / x a x a,"englisch,(altdeutsches) Kirchen-/Volkslied",9,04 Vierzeiler,4,5,41,45,48,24,,,4,3,5,11
4.35,,,daktylisch mit Auftakt,[4 3 4 3],m m m m,- + - - + - - + - - + || - + - - + - - + || - + - - + - - + - - + || - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + - - +<br>- + - - + - - +<br>- + - - + - - + - - +<br>- + - - + - - +</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),92,04 Vierzeiler,,,,,,,,,,,,
4.36,"Vagantenstrophe (halb, auftaktig), 'Seelenliedstrophe'",,jambisch,[4 3 4 3],m w m w,- + - + - + - + || - + - + - + - || - + - + - + - + || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + -<br>- + - + - + - +<br>- + - + - + -</p>",a b a b / x a x a,"mittellateinische Vagantendichtung,(altdeutsches) Kirchen-/Volkslied",4,04 Vierzeiler,22,8,22,45,64,35,12,,12,4,3,6
4.37,,,daktylisch mit Auftakt,[4 3 4 3],m w m w,- + - - + - - + - - + || - + - - + - - + - || - + - - + - - + - - + || - + - - + - - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - - + - - + - - +<br>- + - - + - - + -<br>- + - - + - - + - - +<br>- + - - + - - + -</p>",a b a b / x a x a,jüngere Prägung (keine spezifische Herkunft),73,04 Vierzeiler,0,0,0,2,5,3,,,,,,
4.38,,,jambisch,[4 3 4 3],w m w m,- + - + - + - + - || - + - + - + || - + - + - + - + - || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - +<br>- + - + - + - + -<br>- + - + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),90,04 Vierzeiler,0,0,4,3,2,1,,,,,,
4.39,,,jambisch,[4 4 3 3],m m w w,- + - + - + - + || - + - + - + - + || - + - + - + - || - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + -<br>- + - + - + -</p>",a a b b,(altdeutsches) Kirchen-/Volkslied,84,04 Vierzeiler,,,,,,,,,,,,
4.40,,,jambisch,[4 4 4 2],w m w m,- + - + - + - + - || - + - + - + - + || - + - + - + - + - || - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - + -<br>- + - + - + - +<br>- + - + - + - + -<br>- + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),111,04 Vierzeiler,,,,,,,,,,,,
4.41,,,jambisch,[4 4 4 3],m m m m,- + - + - + - + || - + - + - + - + || - + - + - + - + || - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">- + - + - + - +<br>- + - + - + - +<br>- + - + - + - +<br>- + - + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),98,04 Vierzeiler,,,,,,,,,,,,
4.42,'Wiedertritt' (Barock),,trochäisch,[4 4 4 4],m m m m,+ - + - + - + || + - + - + - + || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +</p>",a a b b,(altdeutsches) Kirchen-/Volkslied,36,04 Vierzeiler,2,12,6,7,3,3,,20,,25,,
4.43,,,trochäisch,[4 4 4 4],m m m m,+ - + - + - + || + - + - + - + || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),74,04 Vierzeiler,0,0,1,2,4,3,,,,,,
4.44,,,daktylisch,[4 4 4 4],m m m m,+ - - + - - + - - + || + - - + - - + - - + || + - - + - - + - - + || + - - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - + - - +<br>+ - - + - - + - - +<br>+ - - + - - + - - +<br>+ - - + - - + - - +</p>",a a b b,jüngere Prägung (keine spezifische Herkunft),110,04 Vierzeiler,,,,,,,,,,,,
4.45,,,trochäisch,[4 4 4 4],m m w w,+ - + - + - + || + - + - + - + || + - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -</p>",a a b b,jüngere Prägung (keine spezifische Herkunft),88,04 Vierzeiler,0,4,2,1,2,1,,,,,,
4.46,,,trochäisch,[4 4 4 4],m w m w,+ - + - + - + || + - + - + - + - || + - + - + - + || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),29,04 Vierzeiler,0,1,6,3,14,7,,,,,17,
4.47,,,trochäisch,[4 4 4 4],m w w m,+ - + - + - + || + - + - + - + - || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +</p>",a b b a,jüngere Prägung (keine spezifische Herkunft),51,04 Vierzeiler,0,1,3,3,4,6,,,,,,
4.48,,,trochäisch,[4 4 4 4],w m m w,+ - + - + - + - || + - + - + - + || + - + - + - + || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +<br>+ - + - + - + -</p>",a b b a,jüngere Prägung (keine spezifische Herkunft),85,04 Vierzeiler,,,,,,,,,,,,
4.49,"Romanzenstrophe, 'Suleikastrophe'",,trochäisch,[4 4 4 4],w m w m,+ - + - + - + - || + - + - + - + || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - + -<br>+ - + - + - +</p>",a b a b / x a x a,spanisch,3,04 Vierzeiler,1,3,15,79,90,45,,,20,1,1,3
4.50,,,daktylisch,[4 4 4 4],w m w m,+ - - + - - + - - + - || + - - + - - + - - + || + - - + - - + - - + - || + - - + - - + - - +,"<p style=""font-family:'Lucida Console', monospace"">+ - - + - - + - - + -<br>+ - - + - - + - - +<br>+ - - + - - + - - + -<br>+ - - + - - + - - +</p>",a b a b,jüngere Prägung (keine spezifische Herkunft),87,04 Vierzeiler,0,0,0,1,2,4,,,,,,
4.51,,,trochäisch,[4 4 4 4],w w m m,+ - + - + - + - || + - + - + - + - || + - + - + - + || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +<br>+ - + - + - +</p>",a a b b,lateinische Hymnendichtung,48,04 Vierzeiler,0,6,6,7,2,3,,,,,,
4.52,,,trochäisch,[4 4 4 4],w w w m,+ - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - +,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - +</p>",x x x x (ungereimt),spanisch,91,04 Vierzeiler,,,,,,,,,,,,
4.53,,,trochäisch,[4 4 4 4],w w w w,+ - + - + - + - || + - + - + - + - || + - + - + - + - || + - + - + - + -,"<p style=""font-family:'Lucida Console', monospace"">+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -<br>+ - + - + - + -</p>",a a b b,jüngere Prägung (keine spezifische Herkunft),80,04 Vierzeiler,,,,,,,,,,,,
